"TIF Number","TIF District","Report Year","Tax Allocation Fund Balance","Property Tax Increment - Current","Property Tax Increment - Cumulative","Interest - Current","Interest - Cumulative","Land/Building - Current","Land/Building - Cumulative","Bond - Current","Bond - Cumulative","Note - Current","Note - Cumulative","Municipal - Current","Municipal - Cumulative","Revenue from Other Sources","Revenue from Private Sources","Private - Current","Cash Expenses","Distribution of Surplus","Transfers - Municipal","Total Expenditure","Net Income","Fund Balance","Description of Debt Obligations","Amount of Original Debt Issuance","Amount Designated - Debt Obligations","Descriptions of Project Costs to be Paid","Amount Designated - Project Costs","Surplus/Deficit"
"T-136","47th/State","2019","$10,610,302","$1,897,166","$20,512,546","$559,182","$939,774","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$26,620","$0","$0","$26,620","$2,429,728","$13,040,030",,"$0","$0","Restricted for future redevelopment project costs","$12,839,030","$201,000"
"T-004","49th/St. Lawrence","2019","$1,641,443","$505,666","$7,037,978","$91,541","$180,621","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$444,741","$0","$0","$444,741","$152,466","$1,793,909",,"$0","$0","Restricted for future redevelopment project costs","$1,702,909","$91,000"
"T-175","51st/Lake Park","2019","$1,831,507","$577,211","$2,640,249","$65,045","$44,576","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,163,388","$0","$0","$1,163,388","$-521,132","$1,310,375",,"$0","$0","Restricted for future redevelopment project costs","$1,310,375","$0"
"T-105","53rd Street","2019","$7,603,473","$4,959,792","$29,799,255","$400,231","$583,827","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$2,691,296","$0","$0","$2,691,296","$2,668,727","$10,272,200",,"$0","$0","Restricted for future redevelopment project costs","$10,272,200","$0"
"T-005","60th/Western","2019","$1,861,181","$168,683","$5,938,288","$74,023","$264,893","$0","$0","$0","$0","$0","$0","$0","$0","$3,918","$0","$0","$513,747","$0","$800,000","$1,313,747","$-1,071,041","$790,140",,"$0","$0","Restricted for future redevelopment project costs","$790,140","$0"
"T-143","63rd/Ashland","2019","$4,503,734","$773,989","$8,904,359","$241,280","$369,898","$0","$0","$0","$0","$0","$0","$800,000","$4,900,000","$5,452","$0","$0","$2,105,982","$0","$550,000","$2,655,982","$-840,713","$3,663,021",,"$0","$0","Restricted for future redevelopment project costs","$3,663,021","$0"
"T-098","63rd/Pulaski","2019","$3,443,456","$2,016,525","$31,557,623","$187,607","$637,964","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$308,000","$0","$1,010,306","$1,318,306","$885,826","$4,329,282",,"$0","$0","Restricted for future redevelopment project costs","$4,262,282","$67,000"
"T-124","67th/Cicero","2019","$817,250","$166,844","$3,682,680","$35,514","$96,865","$0","$0","$0","$0","$0","$0","$0","$3,284,023","$0","$0","$0","$205,191","$0","$0","$205,191","$-2,833","$814,417",,"$0","$0","Restricted for future redevelopment project costs","$814,417","$0"
"T-174","67th/Wentworth","2019","$504,876","$0","$0","$38,938","$43,449","$0","$0","$0","$0","$0","$0","$550,000","$1,175,000","$0","$0","$0","$23,867","$0","$0","$23,867","$565,071","$1,069,947",,"$0","$0","Restricted for future redevelopment project costs","$1,069,947","$0"
"T-145","73rd/University","2019","$1,663,786","$476,063","$5,096,952","$71,123","$128,540","$0","$0","$0","$0","$0","$0","$0","$0","$2,815","$0","$0","$8,934","$0","$750,000","$758,934","$-211,748","$1,452,038",,"$0","$0","Restricted for future redevelopment project costs","$1,452,038","$0"
"T-140","79th/Cicero","2019","$743,313","$795,614","$5,998,878","$34,838","$48,435","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$557,422","$0","$0","$557,422","$273,030","$1,016,343",,"$0","$0","Restricted for future redevelopment project costs","$1,016,343","$0"
"T-056","79th Street Corridor","2019","$7,118,708","$836,016","$13,050,775","$357,749","$606,138","$0","$0","$0","$0","$0","$0","$0","$0","$10,964","$0","$0","$720,533","$0","$1,000,000","$1,720,533","$-526,768","$6,591,940",,"$0","$0","Restricted for future redevelopment project costs","$6,591,940","$0"
"T-112","79th/Southwest Highway","2019","$6,284,609","$1,376,456","$19,670,671","$315,758","$664,026","$0","$0","$0","$0","$0","$0","$0","$0","$1,523","$0","$0","$184,731","$478,000","$0","$662,731","$1,029,483","$7,314,092",,"$0","$0","Restricted for future redevelopment project costs","$6,370,092","$944,000"
"T-155","79th/Vincennes","2019","$1,964,836","$287,298","$3,141,715","$114,462","$177,855","$0","$0","$0","$0","$0","$0","$1,000,000","$1,000,000","$0","$0","$0","$19,341","$0","$0","$19,341","$1,382,419","$3,347,255",,"$0","$0","Restricted for future redevelopment project costs","$3,347,255","$0"
"T-133","83rd/Stewart","2019","$1,480,509","$978,561","$9,297,666","$55,707","$73,529","$0","$0","$0","$0","$0","$0","$0","$0","$64,052","$0","$0","$1,170,358","$0","$0","$1,170,358","$-136,090","$1,344,419",,"$0","$0","Restricted for future redevelopment project costs","$1,344,419","$0"
"T-127","87th/Cottage Grove","2019","$1,750,507","$1,918,182","$28,082,021","$125,220","$519,746","$0","$0","$0","$0","$0","$0","$750,000","$1,375,000","$0","$0","$0","$106,838","$0","$0","$106,838","$2,686,564","$4,437,071",,"$0","$0","Restricted for future redevelopment project costs","$4,437,071","$0"
"T-009","95th/Western","2019","$1,987,306","$1,177,368","$15,687,770","$135,694","$416,165","$0","$0","$0","$0","$0","$0","$1,200,000","$2,400,000","$2,648,627","$0","$0","$985,561","$0","$0","$985,561","$1,527,501","$3,514,807",,"$0","$0","Restricted for future redevelopment project costs","$3,514,807","$0"
"T-111","105th/Vincennes","2019","$2,524,684","$778,591","$6,767,619","$136,803","$172,143","$0","$0","$0","$0","$0","$0","$0","$2,320,284","$0","$0","$0","$768,051","$0","$0","$768,051","$147,343","$2,672,027",,"$0","$0","Restricted for future redevelopment project costs","$2,672,027","$0"
"T-176","107th/Halsted","2019","$2,508,350","$230,920","$1,967,652","$129,019","$132,172","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$0","$57,921","$0","$0","$57,921","$302,018","$2,810,368",,"$0","$0","Restricted for future redevelopment project costs","$2,810,368","$0"
"T-073","111th/Kedzie","2019","$1,666,772","$716,663","$9,533,706","$39,770","$148,361","$0","$0","$0","$0","$0","$0","$0","$0","$511,979","$0","$0","$128,284","$0","$1,000,000","$1,128,284","$-371,851","$1,294,921",,"$0","$0","Restricted for future redevelopment project costs","$1,294,921","$0"
"T-182","116th/Avenue O","2019","$0","$16,016","$16,016","$167","$167","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,576","$0","$0","$1,576","$14,607","$14,607",,"$0","$0","Restricted for future redevelopment project costs","$14,607","$0"
"T-114","119th/Halsted","2019","$4,498,791","$778,931","$11,358,214","$233,075","$395,663","$0","$0","$0","$0","$0","$0","$0","$97,500","$873,905","$0","$0","$823,573","$0","$0","$823,573","$188,433","$4,687,224",,"$0","$0","Restricted for future redevelopment project costs","$4,687,224","$0"
"T-125","119th/I-57","2019","$7,416,429","$2,321,737","$31,276,819","$365,670","$607,944","$0","$0","$0","$0","$0","$0","$0","$950,000","$1,000,000","$0","$0","$2,292,113","$0","$0","$2,292,113","$395,294","$7,811,723",,"$0","$0","Restricted for future redevelopment project costs","$7,811,723","$0"
"T-150","Addison South","2019","$13,242,302","$5,307,287","$33,999,645","$623,253","$940,062","$0","$0","$0","$0","$0","$0","$0","$0","$4,331","$0","$0","$11,057,532","$537,000","$176,000","$11,770,532","$-5,737,324","$7,504,978",,"$0","$0","Restricted for future redevelopment project costs","$7,504,978","$0"
"T-099","Archer/Central","2019","$1,564,719","$505,122","$9,722,355","$82,260","$240,280","$0","$0","$0","$0","$0","$0","$0","$240,000","$0","$0","$0","$123,996","$0","$0","$123,996","$463,386","$2,028,105",,"$0","$0","Restricted for future redevelopment project costs","$2,001,105","$27,000"
"T-067","Archer Courts","2019","$1,883,357","$416,550","$5,896,082","$95,883","$220,023","$0","$0","$0","$0","$0","$0","$0","$2,235,487","$0","$0","$0","$116,820","$112,000","$0","$228,820","$283,613","$2,166,970",,"$0","$0","Restricted for future redevelopment project costs","$1,841,970","$325,000"
"T-163","Archer/Western","2019","$623,030","$1,009,673","$2,198,703","$48,855","$74,196","$0","$0","$0","$0","$0","$0","$1,400,000","$1,400,000","$0","$0","$0","$145,219","$0","$0","$145,219","$2,313,309","$2,936,339",,"$0","$0","Restricted for future redevelopment project costs","$2,936,339","$0"
"T-151","Armitage/Pulaski","2019","$837,738","$131,153","$2,093,163","$45,035","$81,818","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$59,280","$0","$0","$59,280","$116,908","$954,646",,"$0","$0","Restricted for future redevelopment project costs","$954,646","$0"
"T-156","Austin Commercial","2019","$5,015,699","$1,242,783","$11,573,604","$259,573","$393,753","$0","$0","$0","$0","$0","$0","$0","$235,000","$0","$0","$0","$1,233,392","$141,000","$0","$1,374,392","$127,964","$5,143,663",,"$0","$0","Restricted for future redevelopment project costs","$5,143,663","$0"
"T-123","Avalon Park/South Shore","2019","$2,738,612","$500,936","$8,390,027","$145,583","$274,396","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$403,401","$0","$0","$403,401","$243,118","$2,981,730",,"$0","$0","Restricted for future redevelopment project costs","$2,981,730","$0"
"T-167","Avondale","2019","$1,297,597","$177,403","$761,141","$68,364","$116,357","$0","$0","$0","$0","$0","$0","$0","$2,900,000","$0","$0","$0","$28,319","$0","$0","$28,319","$217,448","$1,515,045",,"$0","$0","Restricted for future redevelopment project costs","$1,515,045","$0"
"T-081","Belmont/Central","2019","$14,097,845","$4,803,812","$50,304,691","$749,177","$1,422,388","$0","$0","$0","$0","$0","$0","$0","$938","$805,000","$0","$0","$1,093,719","$0","$0","$1,093,719","$4,459,270","$18,557,115",,"$0","$0","Restricted for future redevelopment project costs","$18,557,115","$0"
"T-082","Belmont/Cicero","2019","$3,701,996","$1,302,774","$18,351,123","$199,140","$469,610","$0","$0","$0","$0","$0","$0","$0","$0","$789","$0","$0","$59,993","$0","$0","$59,993","$1,441,921","$5,143,917",,"$0","$0","Restricted for future redevelopment project costs","$4,315,917","$828,000"
"T-061","Bronzeville","2019","$23,028,967","$4,822,973","$61,015,827","$1,239,363","$2,348,388","$0","$0","$0","$0","$0","$0","$1,400,000","$6,800,000","$1,000,000","$0","$0","$1,861,305","$0","$0","$1,861,305","$5,601,031","$28,629,998",,"$0","$0","Restricted for future redevelopment project costs","$28,629,998","$0"
"T-013","Bryn Mawr/Broadway","2019","$5,626,821","$2,660,846","$30,164,314","$240,281","$1,095,725","$0","$0","$0","$0","$0","$0","$0","$4,684,947","$1,800,389","$0","$0","$51,810","$2,239,000","$0","$2,290,810","$610,317","$6,237,138",,"$0","$0","Restricted for future redevelopment project costs","$3,652,249","$2,584,889"
"T-063","Canal/Congress","2019","$36,867,939","$25,098,028","$332,805,286","$1,744,890","$5,539,498","$0","$0","$0","$0","$0","$0","$2,575,200","$10,966,931","$468,653","$0","$0","$12,229,190","$0","$10,000,000","$22,229,190","$7,188,964","$44,056,903",,"$0","$0","Restricted for future redevelopment project costs","$40,234,903","$3,822,000"
"T-086","Central West","2019","$49,763,204","$27,721,675","$245,210,519","$2,576,136","$8,769,044","$0","$563,393","$0","$32,332,846","$0","$0","$0","$70,617,714","$1,572","$0","$0","$13,972,835","$2,122,000","$0","$16,094,835","$14,202,976","$63,966,180",,"$0","$0","Restricted for future redevelopment project costs","$26,974,180","$36,992,000"
"T-094","Chicago/Kingsbury","2019","$57,917,125","$25,682,510","$270,435,457","$2,207,092","$4,277,340","$0","$0","$0","$0","$0","$0","$0","$0","$15,265","$0","$0","$3,631,847","$42,043,000","$0","$45,674,847","$-17,781,745","$40,135,380",,"$0","$0","Restricted for future redevelopment project costs","$-4,864,620","$45,000,000"
"T-096","Cicero/Archer","2019","$4,607,662","$782,627","$11,980,574","$241,813","$536,345","$0","$0","$0","$0","$0","$0","$0","$0","$1,626","$0","$0","$13,860","$0","$0","$13,860","$1,010,580","$5,618,242",,"$0","$0","Restricted for future redevelopment project costs","$5,618,242","$0"
"T-070","Clark/Montrose","2019","$11,726,353","$3,947,648","$39,281,914","$577,028","$1,045,563","$0","$0","$0","$0","$0","$0","$0","$2,000,000","$1,265,682","$0","$0","$2,724,210","$849,000","$0","$3,573,210","$951,466","$12,677,819",,"$0","$0","Restricted for future redevelopment project costs","$7,460,819","$5,217,000"
"T-074","Clark/Ridge","2019","$7,897,915","$2,510,132","$31,701,454","$411,160","$805,880","$0","$0","$0","$0","$0","$0","$3,000,000","$3,000,000","$6,682","$0","$0","$3,512,737","$372,000","$0","$3,884,737","$2,036,555","$9,934,470",,"$0","$0","Restricted for future redevelopment project costs","$8,413,470","$1,521,000"
"T-128","Commercial Avenue","2019","$8,773,336","$1,381,973","$20,868,915","$465,407","$886,722","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$157,556","$0","$0","$157,556","$1,689,824","$10,463,160",,"$0","$0","Restricted for future redevelopment project costs","$10,463,160","$0"
"T-134","Devon/Sheridan","2019","$5,633,547","$1,459,500","$7,934,196","$282,841","$402,623","$0","$0","$0","$0","$0","$0","$0","$3,136,000","$500,000","$0","$0","$1,283,899","$0","$3,000,000","$4,283,899","$-2,541,558","$3,091,989",,"$0","$0","Restricted for future redevelopment project costs","$3,091,989","$0"
"T-076","Devon/Western","2019","$2,509,501","$3,139,784","$40,501,147","$144,054","$650,281","$0","$0","$0","$0","$0","$0","$0","$3,340,000","$3,692","$0","$0","$246,085","$0","$2,106,384","$2,352,469","$931,369","$3,440,870",,"$0","$0","Restricted for future redevelopment project costs","$3,440,870","$0"
"T-179","Diversey/Chicago River","2019","$21,875","$99,167","$99,167","$4,032","$7,072","$0","$0","$0","$0","$0","$0","$176,000","$526,000","$0","$0","$0","$3,937","$0","$0","$3,937","$275,262","$297,137",,"$0","$0","Restricted for future redevelopment project costs","$297,137","$0"
"T-129","Diversey/Narragansett","2019","$4,470,807","$2,004,065","$29,464,052","$189,913","$336,867","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$1,923,010","$241,000","$0","$2,164,010","$29,968","$4,500,775",,"$0","$0","Restricted for future redevelopment project costs","$4,500,775","$0"
"T-107","Division/Homan","2019","$6,259,351","$1,792,591","$18,329,578","$346,191","$675,557","$0","$0","$0","$0","$0","$0","$0","$0","$1,000,000","$0","$0","$441,561","$196,000","$0","$637,561","$1,501,221","$7,760,572",,"$0","$0","Restricted for future redevelopment project costs","$7,760,572","$0"
"T-130","Edgewater/Ashland","2019","$5,103,894","$803,117","$8,099,315","$274,577","$518,981","$0","$0","$0","$0","$0","$0","$0","$1,400,000","$0","$0","$0","$12,899","$0","$0","$12,899","$1,064,795","$6,168,689",,"$0","$0","Restricted for future redevelopment project costs","$6,168,689","$0"
"T-153","Elston/Armstrong Industrial Corridor","2019","$1,512,826","$729,184","$4,473,744","$83,418","$114,263","$0","$0","$0","$0","$0","$0","$0","$0","$18,864","$0","$0","$175,869","$0","$0","$175,869","$636,733","$2,149,559",,"$0","$0","Restricted for future redevelopment project costs","$2,098,559","$51,000"
"T-021","Englewood Mall","2019","$4,113,740","$558,512","$11,092,743","$214,541","$1,332,192","$0","$0","$0","$0","$0","$0","$0","$7,545,883","$3,688","$0","$0","$13,704","$0","$0","$13,704","$759,349","$4,873,089",,"$0","$0","Restricted for future redevelopment project costs","$4,873,089","$0"
"T-106","Englewood Neighborhood","2019","$23,202,086","$2,524,668","$64,088,044","$1,198,301","$2,237,680","$0","$0","$0","$0","$0","$0","$0","$0","$750,000","$0","$0","$2,265,840","$0","$3,175,000","$5,440,840","$-1,717,871","$21,484,215",,"$0","$0","Restricted for future redevelopment project costs","$21,484,215","$0"
"T-169","Ewing Avenue","2019","$533,133","$98,268","$1,887,410","$46,107","$78,733","$0","$0","$0","$0","$0","$0","$0","$6,508,056","$0","$0","$0","$4,993","$0","$0","$4,993","$495,000","$1,028,133",,"$0","$0","Restricted for future redevelopment project costs","$1,028,133","$0"
"T-177","Foster/California","2019","$341,649","$348,022","$707,347","$23,658","$23,882","$0","$0","$0","$0","$0","$0","$366,668","$5,644,830","$0","$0","$0","$373,626","$0","$0","$373,626","$364,722","$706,371",,"$0","$0","Restricted for future redevelopment project costs","$706,371","$0"
"T-181","Foster/Edens","2019","$0","$477,834","$477,834","$4,440","$4,440","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$6,217","$0","$0","$6,217","$476,057","$476,057",,"$0","$0","Restricted for future redevelopment project costs","$476,057","$0"
"T-066","Greater Southwest Industrial (East)","2019","$3,218,971","$1,200,143","$13,273,376","$163,205","$296,068","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$695,383","$0","$0","$695,383","$667,965","$3,886,936",,"$0","$0","Restricted for future redevelopment project costs","$3,886,936","$0"
"T-092","Greater Southwest Industrial (West)","2019","$5,154,471","$858,114","$13,580,507","$270,336","$673,295","$0","$0","$0","$0","$0","$0","$0","$976,540","$76,096","$0","$0","$54,808","$174,000","$0","$228,808","$899,642","$6,054,113",,"$0","$0","Restricted for future redevelopment project costs","$6,054,113","$0"
"T-148","Harlem Industrial Park Conservation Area","2019","$406,906","$0","$971,268","$20,818","$38,779","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$0","$139,835","$287,889","$0","$139,835","$-119,017","$0",,"$0","$0",,"$0","$0"
"T-144","Harrison/Central","2019","$1,232,208","$99,349","$4,697,515","$64,844","$118,467","$0","$0","$0","$0","$0","$0","$288,000","$7,636,645","$1,000,000","$0","$0","$604,352","$0","$0","$604,352","$-152,159","$1,080,049",,"$0","$0","Restricted for future redevelopment project costs","$1,080,049","$0"
"T-157","Hollywood/Sheridan","2019","$1,116,821","$785,220","$3,394,467","$73,403","$146,813","$0","$0","$0","$0","$0","$0","$575,824","$12,076,096","$0","$0","$0","$614,027","$0","$0","$614,027","$820,420","$1,937,241",,"$0","$0","Restricted for future redevelopment project costs","$1,653,241","$284,000"
"T-024","Homan/Arthington","2019","$3,249,351","$597,689","$10,154,057","$163,581","$474,636","$0","$0","$0","$0","$0","$0","$0","$1,062,798","$0","$0","$0","$1,035,786","$0","$0","$1,035,786","$-274,516","$2,974,835",,"$0","$0","Restricted for future redevelopment project costs","$2,863,835","$111,000"
